1	0	81	28
1	81	84	2
2	0	83	46
2	83	84	1
3	0	82	13
3	82	84	12
4	0	83	74
4	83	84	73
5	0	84	56
6	0	84	52
7	0	83	24
7	83	84	3
8	0	82	92
8	82	83	91
8	83	84	4
9	0	22	37
9	22	24	18
9	24	75	37
9	75	84	36
10	0	83	24
10	83	84	0
12	0	62	47
12	62	63	46
12	63	83	47
12	83	84	46
13	0	80	53
13	80	84	8
14	0	83	23
14	83	84	0
15	0	84	10
16	0	84	14
17	0	83	2
17	83	84	0
18	0	81	21
18	81	84	7
19	0	83	13
19	83	84	0
20	0	84	27
21	0	22	36
21	22	23	34
21	23	24	35
21	24	82	36
21	82	83	6
21	83	84	2
22	0	83	13
22	83	84	0
23	0	84	27
24	0	82	51
24	82	83	49
24	83	84	32
25	0	32	37
25	32	33	34
25	33	82	37
25	82	83	3
25	83	84	0
27	0	84	42
28	0	84	49
29	0	84	48
30	0	81	73
30	81	84	8
31	0	84	13
32	0	83	47
32	83	84	1
34	0	80	8
34	80	84	1
35	0	83	27
35	83	84	2
36	0	84	48
37	0	84	34
38	0	84	34
39	0	83	9
39	83	84	0
41	0	78	38
41	78	79	18
41	79	80	16
41	80	82	13
41	82	83	8
41	83	84	6
42	0	82	16
42	82	84	0
43	0	83	13
43	83	84	0
44	0	69	4
44	69	70	3
44	70	71	4
44	71	78	3
44	78	83	2
44	83	84	1
45	0	84	25
46	0	26	561
46	26	27	560
46	27	81	561
46	81	82	24
46	82	83	23
46	83	84	17
47	0	29	16
47	29	30	15
47	30	84	16
48	0	83	21
48	83	84	19
49	0	82	31
49	82	84	1
50	0	82	6
50	82	83	1
50	83	84	0
51	0	83	27
51	83	84	1
52	0	83	20
52	83	84	0
53	0	82	72
53	82	83	47
53	83	84	0
54	0	84	53
55	0	84	19
56	0	83	17
56	83	84	0
58	0	81	25
58	81	84	2
59	0	83	82
59	83	84	4
60	0	84	22
61	0	83	11
61	83	84	3
62	0	84	34
63	0	83	45
63	83	84	44
64	0	82	18
64	82	84	1
65	0	77	18
65	77	79	12
65	79	83	9
65	83	84	1
66	0	84	24
67	0	82	17
67	82	83	1
67	83	84	0
68	0	80	36
68	80	84	6
69	0	82	20
69	82	84	0
70	0	84	33
71	0	84	18
72	0	83	33
72	83	84	2
73	0	25	53
73	25	26	30
73	26	30	53
73	30	31	50
73	31	84	53
75	0	84	11
76	0	83	13
76	83	84	1
77	0	82	116
77	82	84	39
78	0	81	10
78	81	84	1
79	0	83	104
79	83	84	0
80	0	84	9
81	0	83	20
81	83	84	0
82	0	83	45
82	83	84	44
83	0	75	55
83	75	84	49
84	0	84	6
85	0	84	10
86	0	84	22
87	0	80	27
87	80	81	26
87	81	82	20
87	82	83	15
87	83	84	6
89	0	83	11
89	83	84	1
91	0	80	19
91	80	83	18
91	83	84	0
92	0	84	8
93	0	83	31
93	83	84	0
94	0	84	16
95	0	83	1
95	83	84	0
97	0	82	42
97	82	83	1
97	83	84	0
98	0	76	11
98	76	84	0
