LG	locus	cm
1	44750_x1	0
1	22237_x1	0.382
1	7032_x1	0.603
1	51260_x1	0.603
1	12584_x1	0.603
1	73675_x1	0.603
1	54045_x1	0.603
1	56875_x1	0.603
1	44430_x1	0.718
1	41772_x1	0.878
1	47644_x1	1.032
1	83187_x1	1.187
1	10072_x1	1.34
1	9532_x1	1.6
1	47463_x1	1.945
1	4311_x1	2.183
1	28714_x1	2.289
1	3745_x1	2.424
1	57789_x1	2.657
1	70679_x1	2.904
1	70960_x1	3.059
1	43215_x1	3.186
1	68091_x1	3.346
1	88177_x1	3.488
1	46019_x1	3.599
1	43857_x1	3.599
1	56222_x1	3.599
1	18890_x1	3.599
1	60227_x1	3.599
1	12528_x1	3.599
1	35236_x1	3.599
1	57161_x1	3.599
1	8781_x1	3.599
1	27947_x1	3.599
1	45968_x1	3.599
1	60553_x1	3.599
1	11593_x1	3.599
1	64062_x1	4.171
1	57726_x1	4.171
1	40038_x1	4.171
1	65900_x1	4.171
1	48159_x1	4.305
1	55627_x1	4.849
1	16852_x1	4.849
1	46272_x1	5.992
1	53263_x1	5.992
1	12248_x1	5.992
1	45664_x1	5.992
1	18734_x1	5.992
1	52547_x1	5.992
1	60000_x1	5.992
1	73997_x1	5.992
1	9169_x1	6.105
1	57039_x1	7.209
1	58072_x1	7.209
1	25287_x1	7.209
1	50689_x1	7.209
1	37174_x1	7.209
1	67913_x1	7.326
1	72524_x1	7.476
1	77901_x1	7.651
1	9109_x1	8.168
1	15113_x1	9.935
1	7407_x1	9.935
1	52879_x1	9.935
1	58942_x1	11.126
1	56947_x1	11.126
1	43911_x1	11.126
1	60681_x1	12.272
1	51410_x1	12.272
1	7414_x1	12.395
1	77145_x1	12.607
1	53595_x1	13.023
1	9323_x1	16.121
1	16191_x1	16.532
1	57829_x1	16.993
1	49938_x1	17.554
1	57254_x1	18.081
1	22773_x1	18.497
1	77928_x1	18.93
1	57323_x1	19.948
1	11948_x1	20.317
1	73562_x1	22.939
1	55944_x1	23.057
1	40397_x1	23.057
1	64801_x1	25.927
1	78557_x1	27.08
1	11655_x1	30.547
1	24769_x1	30.547
1	54449_x1	30.547
1	55397_x1	30.547
1	42932_x1	30.547
1	36168_x1	30.547
1	4966_x1	32.261
1	56986_x1	39.786
1	55659_x1	39.786
1	56094_x1	39.786
1	65470_x1	39.786
1	3272_x1	39.786
1	6137_x1	39.958
1	96536_x1	40.205
1	63217_x1	40.492
1	55682_x1	41.046
1	54318_x1	42.737
1	73115_x1	42.931
1	22384_x1	42.931
1	10727_x1	42.931
1	15523_x1	42.931
1	48343_x1	42.931
1	35715_x1	47.895
1	62888_x1	48.405
1	52412_x1	50.376
1	62110_x1	50.838
1	30992_x1	51.412
1	4300_x1	60.166
1	56462_x1	60.398
1	61067_x1	60.593
1	48961_x1	61.694
1	46889_x1	61.862
1	68439_x1	61.862
1	3144_x1	62.206
1	73069_x1	62.524
1	20917_x1	62.524
1	55549_x1	62.524
1	47562_x1	62.524
1	58023_x1	62.524
1	56643_x1	62.524
1	63019_x1	62.524
1	10081_x1	62.524
1	10566_x1	62.631
1	7971_x1	62.809
1	12645_x1	63.016
1	2509_x1	65.243
1	63082_x1	65.344
1	54281_x1	66.492
1	42707_x1	66.492
1	62490_x1	68.21
1	68463_x1	69.274
1	72924_x1	69.464
1	35168_x1	69.464
1	75392_x1	69.464
1	47080_x1	69.581
1	10807_x1	69.695
1	22659_x1	69.695
1	12529_x1	69.695
1	11994_x1	70.302
1	53562_x1	72.048
1	20947_x1	72.63
1	77407_x1	72.63
1	1794_x1	72.63
1	14429_x1	72.63
1	1759_x1	72.63
1	54550_x1	72.63
1	7359_x1	72.63
1	41372_x1	72.63
1	63151_x1	72.63
1	27571_x1	72.63
1	10106_x1	72.63
1	49027_x1	72.63
1	73769_x1	73.374
1	65391_x1	74.062
1	3417_x1	74.464
1	44994_x1	74.813
1	81913_x1	75.795
1	19027_x1	76.862
1	37217_x1	77.007
1	53010_x1	77.14
1	65860_x1	77.298
1	8010_x1	77.506
1	13648_x1	80.851
1	37616_x1	83.177
1	9464_x1	84.77
1	12730_x1	87.262
1	35287_x1	87.262
1	3868_x1	87.262
1	55092_x1	87.262
1	46239_x1	87.262
1	57488_x1	89.548
1	58000_x1	89.548
1	45314_x1	89.788
1	52804_x1	94.885
1	53246_x1	95.51
1	29153_x1	96.295
1	36199_x1	102.101
1	59844_x1	102.101
1	53888_x1	102.101
1	22031_x1	102.8
1	12899_x1	103.289
1	7104_x1	103.289
1	13122_x1	103.289
1	43686_x1	103.289
1	46169_x1	103.289
1	25034_x1	103.439
1	3557_x1	105.695
1	67235_x1	105.695
1	60182_x1	106.387
1	22342_x1	106.668
1	46426_x1	106.812
1	50505_x1	107.008
1	346_x1	107.262
1	58095_x1	107.539
1	23651_x1	107.811
1	55647_x1	108.119
1	68360_x1	108.434
1	7909_x1	111.633
1	44837_x1	112.869
1	3145_x1	112.869
1	4195_x1	112.869
1	70558_x1	113.242
1	41486_x1	113.509
1	40127_x1	113.738
1	7330_x1	114.049
1	27524_x1	114.322
1	33494_x1	114.54
1	64159_x1	114.762
1	9183_x1	115.012
1	57572_x1	115.305
1	18983_x1	115.709
1	30110_x1	118.474
1	13594_x1	118.474
1	5567_x1	118.474
1	44761_x1	118.474
1	47317_x1	118.474
1	4977_x1	118.474
1	44027_x1	118.474
1	48403_x1	121.34
1	50581_x1	121.34
1	6295_x1	121.34
1	69396_x1	121.34
1	8218_x1	121.548
1	10872_x1	121.837
1	14507_x1	122.122
1	56370_x1	122.407
1	14211_x1	122.692
1	7162_x1	122.977
1	48557_x1	123.265
1	51703_x1	123.54
1	5612_x1	123.54
1	44288_x1	123.54
1	14160_x1	123.54
1	81615_x1	123.54
1	56945_x1	123.54
1	70226_x1	123.54
1	54310_x1	123.54
1	61961_x1	123.54
1	71219_x1	123.54
1	72849_x1	123.54
1	19441_x1	123.54
1	27139_x1	123.54
1	3711_x1	123.54
1	42329_x1	123.54
1	73812_x1	123.54
1	20003_x1	123.54
1	2429_x1	123.54
1	7769_x1	123.54
1	9578_x1	123.54
1	67369_x1	123.54
1	69938_x1	123.54
1	20351_x1	123.54
1	53501_x1	123.54
1	49380_x1	123.54
1	61017_x1	123.54
1	67090_x1	123.54
1	41494_x1	123.54
1	47255_x1	123.54
1	22843_x1	123.54
1	7857_x1	123.54
1	45516_x1	123.54
1	12098_x1	123.54
1	26770_x1	123.54
1	46586_x1	123.54
1	48681_x1	123.54
1	50585_x1	123.54
1	8505_x1	123.54
1	83217_x1	123.662
1	18533_x1	123.834
1	21965_x1	124.016
1	5737_x1	124.245
2	58339_x1	0
2	71365_x1	0.125
2	53166_x1	0.125
2	Oke_U507-87_x1	0.125
2	52678_x1	0.245
2	21490_x1	0.439
2	24225_x1	0.737
2	72285_x1	1.035
2	41482_x1	1.331
2	75738_x1	1.576
2	18879_x1	1.684
2	48256_x1	1.684
2	65073_x1	1.684
2	522_x1	1.684
2	42855_x1	1.684
2	7868_x1	1.684
2	45687_x1	1.684
2	69078_x1	4.808
2	50764_x1	5.111
2	21787_x1	5.441
2	1118_x1	5.775
2	59370_x1	6.095
2	58341_x1	6.389
2	46407_x1	6.653
2	40429_x1	6.847
2	11947_x1	6.847
2	45053_x1	7.027
2	76921_x1	12.266
2	2748_x1	12.557
2	7293_x1	12.768
2	52174_x1	14.416
2	64081_x1	14.914
2	56098_x1	14.914
2	61431_x1	14.914
2	55129_x1	17.611
2	47120_x1	17.821
2	40334_x1	18.179
2	23965_x1	18.702
2	854_x1	18.702
2	34069_x1	18.702
2	54193_x1	18.898
2	68384_x1	19.282
2	73497_x1	22.27
2	58938_x1	22.472
2	66081_x1	22.654
2	56950_x1	22.843
2	10308_x1	23.039
2	73484_x1	23.482
2	85073_x1	35.157
2	56916_x1	35.937
2	59700_x1	37.542
2	78505_x1	42.952
2	14534_x1	44.558
2	28883_x1	45.153
2	2258_x1	45.385
2	28999_x1	45.578
2	220_x1	45.758
2	46611_x1	45.875
2	17267_x1	46.016
2	50_x1	46.493
2	55371_x1	47.115
2	22012_x1	47.742
2	3432_x1	48.588
2	47541_x1	49.567
2	31869_x1	58.795
2	75367_x1	58.945
2	43814_x1	59.071
2	21955_x1	59.194
2	37573_x1	59.337
2	59560_x1	64.337
2	6772_x1	64.67
2	48733_x1	65.001
2	66144_x1	65.384
2	57438_x1	65.733
2	65395_x1	66.033
2	64796_x1	69.728
2	9375_x1	69.728
2	73475_x1	69.728
2	47893_x1	69.728
2	26715_x1	69.998
2	61429_x1	70.397
2	51846_x1	71.109
2	60321_x1	71.945
2	4982_x1	72.559
2	43421_x1	72.891
2	44450_x1	72.891
2	24585_x1	73.045
2	4611_x1	73.213
2	60823_x1	73.355
2	11095_x1	73.51
2	49538_x1	73.649
2	8906_x1	73.978
2	15944_x1	73.978
2	59109_x1	73.978
2	23912_x1	73.978
2	69779_x1	73.978
2	4354_x1	74.764
2	48553_x1	75.804
2	68450_x1	75.804
2	35410_x1	75.804
2	53275_x1	77.17
2	44050_x1	79.024
2	19426_x1	79.295
2	52619_x1	79.595
2	37078_x1	85.803
2	27861_x1	85.803
2	52293_x1	85.803
2	72867_x1	85.803
2	10400_x1	85.803
2	1230_x1	87.043
2	57934_x1	89.553
2	45644_x1	90.071
2	52281_x1	90.36
2	59986_x1	90.577
2	50669_x1	90.762
2	54700_x1	90.98
2	11624_x1	91.203
2	61880_x1	91.387
2	7998_x1	93.61
2	59003_x1	93.61
2	52543_x1	94.785
2	Oke_U1012-60_x1	94.785
2	Oke_U1012-241_x1	94.785
2	20608_x1	94.918
2	45170_x1	95.082
2	42892_x1	95.202
2	44139_x1	95.202
2	46427_x1	108.078
2	78179_x1	108.078
2	5313_x1	108.078
2	54604_x1	108.078
2	42100_x1	108.078
2	45670_x1	109.351
2	11974_x1	110.868
2	1018_x1	112.266
2	14495_x1	114.783
2	69970_x1	116.812
2	6248_x1	117.882
2	67446_x1	123.875
2	26657_x1	125.187
2	63723_x1	125.438
2	77826_x1	125.438
2	37425_x1	125.811
2	3124_x1	127.572
2	49174_x1	127.572
2	77134_x1	127.572
2	43169_x1	127.572
2	67174_x1	127.572
2	64703_x1	127.572
2	63848_x1	127.572
2	5193_x1	130.37
2	18930_x1	130.37
2	13700_x1	130.9
2	47776_x1	130.9
2	49465_x1	130.9
2	53033_x1	130.9
2	6338_x1	130.9
2	57272_x1	131.019
2	52992_x1	131.821
2	8925_x1	133.133
2	30524_x1	133.475
3	61904_x1	0
3	48210_x1	0
3	45902_x1	0.444
3	63905_x1	0.719
3	53398_x1	0.925
3	78474_x1	0.925
3	60868_x1	0.925
3	59532_x1	0.925
3	20681_x1	0.925
3	10612_x1	0.925
3	43082_x1	0.925
3	54326_x1	0.925
3	47927_x1	0.925
3	11648_x1	0.925
3	68352_x1	0.925
3	22055_x1	0.925
3	15385_x1	0.925
3	53981_x1	0.925
3	64189_x1	0.925
