locnum	cpvals	zscore
1	0.429470255483986	-0.846787
2	0.780930084739438	0.298061
3	0.675835885824134	-0.448154
4	0.324519788040585	1.0559
5	0.716019324417877	-0.389885
6	0.272041567294261	-1.17718
7	0.342924169096955	1.01645
8	0.126011063104985	1.6398
9	0.536800889897288	0.661974
10	0.0375090389332017	-2.22943
11	0.922319328196987	0.104509
12	0.607177506040296	-0.550993
13	0.34803359105742	-1.00574
14	0.270894743402681	1.18
15	0.785001965586727	-0.29238
16	0.298612484535711	1.11399
17	0.883922350426899	0.156474
18	0.714615050616535	-0.391901
19	0.530808735693494	-0.671742
20	0.520254006278976	0.689085
21	0.651985951793216	0.483364
22	0.815264007617824	-0.250404
23	0.841956928826794	-0.213697
24	0.00701667414475877	-2.88949
25	0.713102497622049	0.394074
26	0.343570314228902	1.01509
27	0.196835564924796	-1.38322
28	0.921550270193701	0.105547
29	0.519384949953338	0.690521
30	0.221001640798937	-1.31168
31	0.66036251066343	-0.47094
32	0.868016175161772	0.178102
33	0.195717888764697	-1.38668
34	0.805904105697226	-0.263343
35	0.0492176037196238	2.10781
36	0.816274009380238	-0.24901
37	0.949408881393025	0.0680015
38	0.760143267712964	-0.327197
39	0.261438983695279	1.20357
40	0.508690626723926	-0.708295
41	0.180817283919412	1.43426
42	0.745738533356509	-0.347529
43	0.563183320500426	-0.619599
44	0.005045001777127	3.00534
45	0.336782321528017	1.02946
46	0.469392904431175	-0.775375
47	0.857567744012262	-0.192348
48	0.919619059380219	0.108154
49	0.803048584101244	0.267298
50	0.038212675580675	-2.22127
51	0.0749436098516306	-1.90858
52	0.265586735522395	1.19316
53	0.372190826947925	0.956404
54	0.663804005778975	-0.465854
55	0.374042479810657	-0.952706
56	0.103984065965076	1.74249
57	0.504578672332022	-0.715181
58	0.625092803716576	-0.523705
59	0.22729945090175	1.29397
60	0.528881808419562	0.674895
61	0.392852938505703	-0.915761
62	0.202064815685465	1.36722
63	0.625873949962574	0.522523
64	0.294330318072707	1.12391
65	0.460496600081065	-0.790982
66	0.847281594751223	0.206406
67	0.00864331932708013	2.81425
68	0.856924589446667	-0.193226
69	0.174782084286004	-1.45436
70	0.461240249745306	-0.789671
71	0.509728242133245	0.706562
72	0.427035450344746	0.851263
73	0.343128380975295	1.01602
74	0.827505598962141	-0.233536
75	0.657711516042654	0.474865
76	0.57646073196404	-0.598638
77	0.997019164588513	0.00400398
78	0.0192982887667051	-2.50759
79	0.177363627984898	1.4457
80	0.505301737838958	0.713968
81	0.759623893564167	0.327928
82	0.303251465998183	1.10335
83	0.00223846761620611	-3.27593
84	0.333129519304816	-1.03727
85	0.477689993286799	-0.760966
86	0.779298281668039	0.30034
87	0.471098859618153	0.772401
88	0.135474013863654	1.59997
89	0.00750475878345074	2.8654
90	0.970957649583541	-0.0390194
91	0.0968024058630008	1.7797
92	3.2274117530328e-07	-5.47627
93	0.657013853499583	0.475899
94	0.121619363463076	1.65908
95	0.539070248028126	0.658289
96	0.655807481901223	0.477688
97	0.116590046142964	1.68184
98	0.80323911145771	0.267034
99	0.551894277962731	0.637609
100	0.0621750316021577	-1.99886
101	0.987345213366809	0.0169991
102	0.705488123837806	0.405038
103	0.436792077564766	-0.833415
104	0.801222570824813	0.269829
105	0.839894280728702	0.216524
106	0.615432463459098	0.538376
107	0.267647309397956	-1.18803
108	0.896805851613853	-0.139003
109	0.998564551254493	0.00192815
110	0.794061857367276	0.279769
111	0.940869844630212	-0.0794987
112	0.348297279730559	-1.00519
113	0.953091656047394	0.0630454
114	0.894533253883766	0.142082
115	0.500637989758621	0.721808
116	0.379500989085536	0.94187
117	0.0243847253775024	2.41252
118	0.393993967074855	0.913555
119	0.187986601930837	-1.41102
120	0.5775841740312	0.596875
121	0.279867448439113	1.15815
122	0.704840819885194	0.405972
123	0.387405880852877	-0.926346
