locnum	cpvals	zscore
1	0.514097293712889	-0.547059
2	0.760482171784645	-0.255597
3	0.395631804836319	-0.712213
4	0.948275145142985	-0.0543922
5	0.487916756084768	-0.581565
6	0.887966312641472	0.118118
7	0.110351179368004	-1.33867
8	0.254182732495285	-0.956032
9	0.0393597790074406	1.72753
10	0.00982895078827891	2.16468
11	0.989169188741122	0.0113817
12	0.939629628355956	-0.0634997
13	0.927579300629745	0.0762067
14	0.353437822163235	0.778025
15	0.600120478704454	-0.439534
16	0.664803585846405	0.363289
17	0.921476942620865	0.0826481
18	0.866488705348319	0.140959
19	0.979022541911121	0.0220463
20	0.180234440668962	-1.12354
21	0.0124550937334299	-2.09525
22	0.0212393655041289	-1.93152
23	0.63702510363684	0.395629
24	0.491207881543132	0.577174
25	0.743971399140337	-0.273834
26	0.457738917183976	-0.622606
27	0.40063762616715	-0.704696
28	0.0369947653135851	-1.74884
29	0.0714576194322754	-1.51134
30	0.446269010482171	-0.638599
31	0.289709928320622	-0.887707
32	0.857981777796655	0.150034
33	0.393635341870761	0.715227
34	0.427377862882059	0.66546
35	0.820858977709538	0.189857
36	0.669562292972039	0.357804
37	0.728754643504104	0.290757
38	0.666182535009514	-0.361698
39	0.671113810588503	0.356019
40	0.967885522689337	0.033756
41	0.752438510667861	0.264466
42	0.519050778743858	0.540635
43	0.453068877189797	0.62909
44	0.677331237046127	-0.348882
45	0.625616201396392	-0.409081
46	0.66638891121494	-0.36146
47	0.725816561320121	-0.294038
48	0.517643352260929	-0.542457
49	0.888052998596319	-0.118026
50	0.652732598406466	-0.377273
51	0.555436638520749	-0.494373
52	0.412386919747684	-0.687271
53	0.346329488029369	-0.789588
54	0.0291183177350467	-1.82938
55	0.457610354751243	-0.622784
56	0.0250962976128592	-1.87804
57	0.0129264216224781	-2.08419
58	0.054684586380736	-1.61096
59	0.829716143106478	0.18032
60	0.958687371351442	-0.043432
61	0.196475579240852	-1.08298
62	0.0226712227174157	-1.91075
63	0.485333326378186	0.585023
64	0.520011308424658	0.539393
65	0.295840865889687	0.876502
